cluster_id,size,name,description,keywords,causal_summary,evidence_bullets,limitations,top_phase,purity_reference_col,purity_context
41,182,Cruise - Aircraft Equipment Problem Critical,Incidents in Cruise. Common theme: Aircraft Equipment Problem Critical. Aircraft: Skyhawk 172/Cutlass 172.,"engine, power, zzz, runway, flight, aircraft, landing, airport","Cluster 41 contains 182 reports, mostly in the cruise phase. Likely cause drivers are system / equipment reliability, airspace conflict / traffic separation. The recurring event pattern is aircraft equipment problem critical. Evidence appears in repeated terms: engine, power, zzz, runway, flight, aircraft. Operationally, this points to a repeatable risk pathway where similar triggers are producing similar outcomes across reports in the same cluster. The cluster should be treated as a targeted risk theme for focused mitigations, crew briefing updates, and short-cycle trend monitoring. This is an inferred causal pattern from clustered reports, not a proven single root cause.","Phase: Cruise | Anomaly / theme: Aircraft Equipment Problem Critical | Aircraft context: Skyhawk 172/Cutlass 172 | Key terms: engine, power, zzz, runway, flight, aircraft, landing, airport | Dominant anomaly_normalized: system_failure (98.9% of this cluster)",Descriptive only; not proven root cause. Ground claims in Narrative/Synopsis and fields above.,Cruise,anomaly_normalized,Dominant anomaly_normalized: system_failure (98.9% of this cluster)
5,171,Cruise - Aircraft Equipment Problem Less Severe; Deviatio...,Incidents in Cruise. Common theme: Aircraft Equipment Problem Less Severe; Deviation / Discrepa. Aircraft: Commercial Fixed Wing.,"gps, jamming, flight, gps jamming, aircraft, interference, atc, approach","Cluster 5 contains 171 reports, mostly in the cruise phase. Likely cause drivers are system / equipment reliability, ATC communication / coordination. The recurring event pattern is aircraft equipment problem less severe; deviatio.... Evidence appears in repeated terms: gps, jamming, flight, gps jamming, aircraft, interference. Operationally, this points to a repeatable risk pathway where similar triggers are producing similar outcomes across reports in the same cluster. The cluster should be treated as a targeted risk theme for focused mitigations, crew briefing updates, and short-cycle trend monitoring. This is an inferred causal pattern from clustered reports, not a proven single root cause.","Phase: Cruise | Anomaly / theme: Aircraft Equipment Problem Less Severe; Deviation / Discrepancy - Procedural Published Material / Policy | Aircraft context: Commercial Fixed Wing | Key terms: gps, jamming, flight, gps jamming, aircraft, interference, atc, approach | Dominant anomaly_normalized: system_failure (95.3% of this cluster)",Descriptive only; not proven root cause. Ground claims in Narrative/Synopsis and fields above.,Cruise,anomaly_normalized,Dominant anomaly_normalized: system_failure (95.3% of this cluster)
2,166,Final Approach - Airspace Violation All Types; Conflict N...,Incidents in Final Approach. Common theme: Airspace Violation All Types; Conflict NMAC; Deviation / Dis. Aircraft: Medium Large Transport; Low Wing; 2 Turbojet Eng.,"drone, approach, aircraft, feet, flight, uas, reported, evasive","Cluster 2 contains 166 reports, mostly in the final approach phase. Likely cause drivers are airspace conflict / traffic separation. The recurring event pattern is airspace violation all types; conflict n.... Evidence appears in repeated terms: drone, approach, aircraft, feet, flight, uas. Operationally, this points to a repeatable risk pathway where similar triggers are producing similar outcomes across reports in the same cluster. The cluster should be treated as a targeted risk theme for focused mitigations, crew briefing updates, and short-cycle trend monitoring. This is an inferred causal pattern from clustered reports, not a proven single root cause.","Phase: Final Approach | Anomaly / theme: Airspace Violation All Types; Conflict NMAC; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Published Material / Polic... | Aircraft context: Medium Large Transport; Low Wing; 2 Turbojet Eng | Key terms: drone, approach, aircraft, feet, flight, uas, reported, evasive | Dominant anomaly_normalized: airspace_conflict (95.2% of this cluster)",Descriptive only; not proven root cause. Ground claims in Narrative/Synopsis and fields above.,Final Approach,anomaly_normalized,Dominant anomaly_normalized: airspace_conflict (95.2% of this cluster)
33,164,Landing - Aircraft Equipment Problem Critical,Incidents in Landing. Common theme: Aircraft Equipment Problem Critical. Aircraft: B737 Undifferentiated or Other Model.,"gear, landing, landing gear, aircraft, nose, runway, flight, nose gear","Cluster 33 contains 164 reports, mostly in the landing phase. Likely cause drivers are system / equipment reliability, airspace conflict / traffic separation. The recurring event pattern is aircraft equipment problem critical. Evidence appears in repeated terms: gear, landing, landing gear, aircraft, nose, runway. Operationally, this points to a repeatable risk pathway where similar triggers are producing similar outcomes across reports in the same cluster. The cluster should be treated as a targeted risk theme for focused mitigations, crew briefing updates, and short-cycle trend monitoring. This is an inferred causal pattern from clustered reports, not a proven single root cause.","Phase: Landing | Anomaly / theme: Aircraft Equipment Problem Critical | Aircraft context: B737 Undifferentiated or Other Model | Key terms: gear, landing, landing gear, aircraft, nose, runway, flight, nose gear | Dominant anomaly_normalized: system_failure (95.7% of this cluster)",Descriptive only; not proven root cause. Ground claims in Narrative/Synopsis and fields above.,Landing,anomaly_normalized,Dominant anomaly_normalized: system_failure (95.7% of this cluster)
38,143,Cruise - ATC Issue All Types; Deviation / Discrepancy - P...,Incidents in Cruise. Common theme: ATC Issue All Types; Deviation / Discrepancy - Procedural Pu. Aircraft: Skyhawk 172/Cutlass 172.,"aircraft, zzz, traffic, altitude, approach, tower, pilot, flight","Cluster 38 contains 143 reports, mostly in the cruise phase. Likely cause drivers are procedural compliance / SOP adherence, ATC communication / coordination. The recurring event pattern is atc issue all types; deviation / discrepancy - p.... Evidence appears in repeated terms: aircraft, zzz, traffic, altitude, approach, tower. Operationally, this points to a repeatable risk pathway where similar triggers are producing similar outcomes across reports in the same cluster. The cluster should be treated as a targeted risk theme for focused mitigations, crew briefing updates, and short-cycle trend monitoring. This is an inferred causal pattern from clustered reports, not a proven single root cause.","Phase: Cruise | Anomaly / theme: ATC Issue All Types; Deviation / Discrepancy - Procedural Published Material / Policy; Inflight Event / Encounter CFTT / CFIT | Aircraft context: Skyhawk 172/Cutlass 172 | Key terms: aircraft, zzz, traffic, altitude, approach, tower, pilot, flight | Dominant anomaly_normalized: other (53.1% of this cluster)",Descriptive only; not proven root cause. Ground claims in Narrative/Synopsis and fields above.,Cruise,anomaly_normalized,Dominant anomaly_normalized: other (53.1% of this cluster)
29,140,Cruise - ATC Issue All Types; Deviation / Discrepancy - P...,Incidents in Cruise. Common theme: ATC Issue All Types; Deviation / Discrepancy - Procedural Pu. Aircraft: Commercial Fixed Wing.,"aircraft, frequency, tower, traffic, airspace, controller, radio, airport","Cluster 29 contains 140 reports, mostly in the cruise phase. Likely cause drivers are procedural compliance / SOP adherence, ATC communication / coordination. The recurring event pattern is atc issue all types; deviation / discrepancy - p.... Evidence appears in repeated terms: aircraft, frequency, tower, traffic, airspace, controller. Operationally, this points to a repeatable risk pathway where similar triggers are producing similar outcomes across reports in the same cluster. The cluster should be treated as a targeted risk theme for focused mitigations, crew briefing updates, and short-cycle trend monitoring. This is an inferred causal pattern from clustered reports, not a proven single root cause.","Phase: Cruise | Anomaly / theme: ATC Issue All Types; Deviation / Discrepancy - Procedural Published Material / Policy | Aircraft context: Commercial Fixed Wing | Key terms: aircraft, frequency, tower, traffic, airspace, controller, radio, airport | Dominant anomaly_normalized: other (67.9% of this cluster)",Descriptive only; not proven root cause. Ground claims in Narrative/Synopsis and fields above.,Cruise,anomaly_normalized,Dominant anomaly_normalized: other (67.9% of this cluster)
40,130,Landing - Ground Event / Encounter Loss Of Aircraft Contr...,Incidents in Landing. Common theme: Ground Event / Encounter Loss Of Aircraft Control; Ground Ex. Aircraft: Skyhawk 172/Cutlass 172.,"runway, aircraft, student, landing, left, flight, pilot, right","Cluster 40 contains 130 reports, mostly in the landing phase. Likely cause drivers are airspace conflict / traffic separation, ground movement / surface operations. The recurring event pattern is ground event / encounter loss of aircraft contr.... Evidence appears in repeated terms: runway, aircraft, student, landing, left, flight. Operationally, this points to a repeatable risk pathway where similar triggers are producing similar outcomes across reports in the same cluster. The cluster should be treated as a targeted risk theme for focused mitigations, crew briefing updates, and short-cycle trend monitoring. This is an inferred causal pattern from clustered reports, not a proven single root cause.","Phase: Landing | Anomaly / theme: Ground Event / Encounter Loss Of Aircraft Control; Ground Excursion Runway | Aircraft context: Skyhawk 172/Cutlass 172 | Key terms: runway, aircraft, student, landing, left, flight, pilot, right | Dominant anomaly_normalized: other (60.0% of this cluster)",Descriptive only; not proven root cause. Ground claims in Narrative/Synopsis and fields above.,Landing,anomaly_normalized,Dominant anomaly_normalized: other (60.0% of this cluster)
43,130,Takeoff / Launch - Aircraft Equipment Problem Critical,Incidents in Takeoff / Launch. Common theme: Aircraft Equipment Problem Critical. Aircraft: B737-800.,"takeoff, engine, rejected, rejected takeoff, thrust, power, runway, flight","Cluster 43 contains 130 reports, mostly in the takeoff / launch phase. Likely cause drivers are system / equipment reliability, airspace conflict / traffic separation. The recurring event pattern is aircraft equipment problem critical. Evidence appears in repeated terms: takeoff, engine, rejected, rejected takeoff, thrust, power. Operationally, this points to a repeatable risk pathway where similar triggers are producing similar outcomes across reports in the same cluster. The cluster should be treated as a targeted risk theme for focused mitigations, crew briefing updates, and short-cycle trend monitoring. This is an inferred causal pattern from clustered reports, not a proven single root cause.","Phase: Takeoff / Launch | Anomaly / theme: Aircraft Equipment Problem Critical | Aircraft context: B737-800 | Key terms: takeoff, engine, rejected, rejected takeoff, thrust, power, runway, flight | Dominant anomaly_normalized: system_failure (96.9% of this cluster)",Descriptive only; not proven root cause. Ground claims in Narrative/Synopsis and fields above.,Takeoff / Launch,anomaly_normalized,Dominant anomaly_normalized: system_failure (96.9% of this cluster)
18,123,Final Approach - ATC Issue All Types; Conflict NMAC,Incidents in Final Approach. Common theme: ATC Issue All Types; Conflict NMAC. Aircraft: Commercial Fixed Wing.,"traffic, aircraft, ra, approach, atc, tcas, altitude, flight","Cluster 18 contains 123 reports, mostly in the final approach phase. Likely cause drivers are ATC communication / coordination, airspace conflict / traffic separation. The recurring event pattern is atc issue all types; conflict nmac. Evidence appears in repeated terms: traffic, aircraft, ra, approach, atc, tcas. Operationally, this points to a repeatable risk pathway where similar triggers are producing similar outcomes across reports in the same cluster. The cluster should be treated as a targeted risk theme for focused mitigations, crew briefing updates, and short-cycle trend monitoring. This is an inferred causal pattern from clustered reports, not a proven single root cause.","Phase: Final Approach | Anomaly / theme: ATC Issue All Types; Conflict NMAC | Aircraft context: Commercial Fixed Wing | Key terms: traffic, aircraft, ra, approach, atc, tcas, altitude, flight | Dominant anomaly_normalized: airspace_conflict (97.6% of this cluster)",Descriptive only; not proven root cause. Ground claims in Narrative/Synopsis and fields above.,Final Approach,anomaly_normalized,Dominant anomaly_normalized: airspace_conflict (97.6% of this cluster)
34,120,Cruise - Aircraft Equipment Problem Critical,Incidents in Cruise. Common theme: Aircraft Equipment Problem Critical. Aircraft: EMB ERJ 145 ER/LR.,"cabin, altitude, flight, 000, descent, pressurization, cabin altitude, zzz","Cluster 34 contains 120 reports, mostly in the cruise phase. Likely cause drivers are system / equipment reliability, airspace conflict / traffic separation. The recurring event pattern is aircraft equipment problem critical. Evidence appears in repeated terms: cabin, altitude, flight, 000, descent, pressurization. Operationally, this points to a repeatable risk pathway where similar triggers are producing similar outcomes across reports in the same cluster. The cluster should be treated as a targeted risk theme for focused mitigations, crew briefing updates, and short-cycle trend monitoring. This is an inferred causal pattern from clustered reports, not a proven single root cause.","Phase: Cruise | Anomaly / theme: Aircraft Equipment Problem Critical | Aircraft context: EMB ERJ 145 ER/LR | Key terms: cabin, altitude, flight, 000, descent, pressurization, cabin altitude, zzz | Dominant anomaly_normalized: system_failure (99.2% of this cluster)",Descriptive only; not proven root cause. Ground claims in Narrative/Synopsis and fields above.,Cruise,anomaly_normalized,Dominant anomaly_normalized: system_failure (99.2% of this cluster)
1,118,Parked - Deviation / Discrepancy - Procedural FAR; Deviat...,Incidents in Parked. Common theme: Deviation / Discrepancy - Procedural FAR; Deviation / Discre. Aircraft: Commercial Fixed Wing.,"battery, passenger, bag, flight, lithium, wheelchair, batteries, gate","Cluster 1 contains 118 reports, mostly in the parked phase. Likely cause drivers are procedural compliance / SOP adherence, airspace conflict / traffic separation. The recurring event pattern is deviation / discrepancy - procedural far; deviat.... Evidence appears in repeated terms: battery, passenger, bag, flight, lithium, wheelchair. Operationally, this points to a repeatable risk pathway where similar triggers are producing similar outcomes across reports in the same cluster. The cluster should be treated as a targeted risk theme for focused mitigations, crew briefing updates, and short-cycle trend monitoring. This is an inferred causal pattern from clustered reports, not a proven single root cause.","Phase: Parked | Anomaly / theme: Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Hazardous Material Violation; Deviation / Discrepancy - Procedural Publ... | Aircraft context: Commercial Fixed Wing | Key terms: battery, passenger, bag, flight, lithium, wheelchair, batteries, gate | Dominant anomaly_normalized: other (91.5% of this cluster)",Descriptive only; not proven root cause. Ground claims in Narrative/Synopsis and fields above.,Parked,anomaly_normalized,Dominant anomaly_normalized: other (91.5% of this cluster)
13,113,Cruise - Aircraft Equipment Problem Critical; Inflight Ev...,Incidents in Cruise. Common theme: Aircraft Equipment Problem Critical; Inflight Event / Encoun. Aircraft: Skyhawk 172/Cutlass 172.,"fuel, tank, engine, flight, zzz, left, leak, landing","Cluster 13 contains 113 reports, mostly in the cruise phase. Likely cause drivers are system / equipment reliability, airspace conflict / traffic separation. The recurring event pattern is aircraft equipment problem critical; inflight ev.... Evidence appears in repeated terms: fuel, tank, engine, flight, zzz, left. Operationally, this points to a repeatable risk pathway where similar triggers are producing similar outcomes across reports in the same cluster. The cluster should be treated as a targeted risk theme for focused mitigations, crew briefing updates, and short-cycle trend monitoring. This is an inferred causal pattern from clustered reports, not a proven single root cause.","Phase: Cruise | Anomaly / theme: Aircraft Equipment Problem Critical; Inflight Event / Encounter Fuel Issue | Aircraft context: Skyhawk 172/Cutlass 172 | Key terms: fuel, tank, engine, flight, zzz, left, leak, landing | Dominant anomaly_normalized: system_failure (96.5% of this cluster)",Descriptive only; not proven root cause. Ground claims in Narrative/Synopsis and fields above.,Cruise,anomaly_normalized,Dominant anomaly_normalized: system_failure (96.5% of this cluster)
25,103,Cruise - Aircraft Equipment Problem Critical,Incidents in Cruise. Common theme: Aircraft Equipment Problem Critical. Aircraft: B737-800.,"oil, engine, pressure, oil pressure, flight, zzz, landing, aircraft","Cluster 25 contains 103 reports, mostly in the cruise phase. Likely cause drivers are system / equipment reliability, airspace conflict / traffic separation. The recurring event pattern is aircraft equipment problem critical. Evidence appears in repeated terms: oil, engine, pressure, oil pressure, flight, zzz. Operationally, this points to a repeatable risk pathway where similar triggers are producing similar outcomes across reports in the same cluster. The cluster should be treated as a targeted risk theme for focused mitigations, crew briefing updates, and short-cycle trend monitoring. This is an inferred causal pattern from clustered reports, not a proven single root cause.","Phase: Cruise | Anomaly / theme: Aircraft Equipment Problem Critical | Aircraft context: B737-800 | Key terms: oil, engine, pressure, oil pressure, flight, zzz, landing, aircraft | Dominant anomaly_normalized: system_failure (100.0% of this cluster)",Descriptive only; not proven root cause. Ground claims in Narrative/Synopsis and fields above.,Cruise,anomaly_normalized,Dominant anomaly_normalized: system_failure (100.0% of this cluster)
39,98,Landing - Deviation / Discrepancy - Procedural Published ...,Incidents in Landing. Common theme: Deviation / Discrepancy - Procedural Published Material / Po. Aircraft: Skyhawk 172/Cutlass 172.,"runway, aircraft, landing, wind, crosswind, left, control, right","Cluster 39 contains 98 reports, mostly in the landing phase. Likely cause drivers are procedural compliance / SOP adherence, airspace conflict / traffic separation. The recurring event pattern is deviation / discrepancy - procedural published .... Evidence appears in repeated terms: runway, aircraft, landing, wind, crosswind, left. Operationally, this points to a repeatable risk pathway where similar triggers are producing similar outcomes across reports in the same cluster. The cluster should be treated as a targeted risk theme for focused mitigations, crew briefing updates, and short-cycle trend monitoring. This is an inferred causal pattern from clustered reports, not a proven single root cause.","Phase: Landing | Anomaly / theme: Deviation / Discrepancy - Procedural Published Material / Policy; Ground Event / Encounter Loss Of Aircraft Control; Ground Event / Encounter Weather ... | Aircraft context: Skyhawk 172/Cutlass 172 | Key terms: runway, aircraft, landing, wind, crosswind, left, control, right | Dominant anomaly_normalized: other (77.6% of this cluster)",Descriptive only; not proven root cause. Ground claims in Narrative/Synopsis and fields above.,Landing,anomaly_normalized,Dominant anomaly_normalized: other (77.6% of this cluster)
