report_id,date,month_key,text,cluster,cluster_label,umap_x,umap_y,vessel_type,flight_phase
2069176.0,2024-01-01,2024-01,"Aircraft X  was at 3300 feet MSL when I issued a vector of 280 degrees and instructed the aircraft to maintain 3300 until established on the final approach course for the RNAV approach to Runway 25 at IOW. The pilot read back the approach clearance and then stated they had a PIREP for me when I was ready. I observed the aircraft to slightly start turning for the vector issued so I told the pilot to go ahead with the PIREP. While the pilot was reading the PIREP to me; I observed the aircraft turning back to its original track direct to BUCKA; an initial approach fix on the that approach procedure. After the aircraft was through the approach course and the pilot unkeyed the radio; I noticed the aircraft was descending to an unsafe altitude and I instructed the pilot to climb and maintain 3000 feet. Then I immediately issued a low altitude alert and advised the pilot that the minimum vectoring altitude in their area was 3200 feet. The pilot acknowledged and climbed to 3200 feet at which point I issued a vector of 230 degrees to join the approach but also to vector them away from a known obstruction in case of an additional unprecedented descent in that area. The pilot then joined the final approach course and asked if they were still cleared for the approach. I responded in the affirmative and restated an approach clearance for clarity. The pilot was then shortly after approved to switch to the common traffic advisory frequency and landed safely at IOW airport. The pilot cancelled their IFR flight plan on the RCO (Remote Communications Outlet) clearance delivery frequency. Shortly after I issued a BRASHER"" warning for a possible pilot deviation and advised the pilot contact me via phone. I recommend the RNAV approach procedure for Runway 25 at IOW airport be changed to remove the HEWRI waypoint as this waypoint has a published crossing altitude of 2800 feet; which is below the minimum vectoring altitude in that area. The pilot had contacted us after landing via phone and advised that they as confused their altitude with the 280 vector that was assigned and the altitude at HEWRI of 2800 feet. The pilot also stated they had to disengage the auto pilot as the aircraft began to descend unprecedentedly.""",22,Cluster 22,1.8872592,2.2722263,FBO,Final Approach
2070005.0,2024-01-01,2024-01,I accepted a hand off for an aircraft westbound to ZZZ. I took the hand off descending out of 11000 ft. to 9000 ft. The route seemed good based on my memory and since the altitude was issued by ATC I assumed that they had checked it prior to the hand off. About the time the aircraft checked on frequency the MSAW alerted. The aircraft headed into a 9500 ft. MIA that started in ZZZ1 airspace and is long and thin about 5 miles along the aircraft's route. I assigned the aircraft 9500 ft. as soon as they checked on. the aircraft leveled at 9500 ft. but it may have been a 1000 feet low by the time it arrested its descent. I suspect that ZZZ1 has a DVA. That maybe why the ZZZ controller issued an altitude below my MIA. If this is true we may want to at least highlight the ZZZ controllers that the MIA entering ZZZ could be different than they depict and come up with a way to ensure we are above the highest terrain for either side.,37,Cluster 37,2.7032173,3.289306,Corporate,Descent
2070111.0,2024-01-01,2024-01,As we were about to start the approach ATC gave us a vector towards terrain for spacing.  We immediately said this was not right we stopped our descent and requested a right turn back to the IAF to avoid terrain. The approach was completed without incident.,22,Cluster 22,1.4044781,1.8597848,Air Carrier,Final Approach
2070299.0,2024-01-01,2024-01,"Receiving vectors for the visual approach to Runway 33 after concluding Janny5 arrival. Heading 160; ATC says maintain 3000 until abeam of Van Nuys airport; which would then be to our North when turning towards BUR. We were not yet cleared for the visual approach. Just as I am questioning our vector towards the South of our desired track to the visual approach towards BUR and our altitude clearance of 3000; we have a TERRAIN; TERRAIN; CLIMB; CLIMB alert from our GPWS. Our altitude was then 3200. Disconnected the autopilot and climbed; received our cleared for the visual approach; Runway 33. We could now fly back to our desired track well to the North of us and concluded the visual approach to the runway. I believe the Controller thought they had another minute or two before they could steer us to the visual track; however we had a substantial tailwind from the North that took us further South than the Controller had counted on. Sure glad this was under VFR. ATC failure to understand our track; altitude and ground speed. Suggestions: Have similar things happen in the past where the Controllers do not understand wind effect on ground speed. To me obviously Controllers are not briefed on winds aloft in a quantitative measure.""",22,Cluster 22,1.7465595,1.9483984,Air Carrier,Initial Approach
2070893.0,2024-01-01,2024-01,On the date and time given; I was conducting an instrument training flight for a student and we were on short final for RWY 21L at PRC. We were following the ILS LOC and Glideslope and We were indicating 85 knots IAS during the approach. While on final I heard an aircraft being told to fly straight in 21L behind us. I noticed him on our ADSB and saw that he was gaining ground on us fast; I inquired with ATC asking 'does the aircraft behind us have us in sight'. No response. I visually scanned left; right; and behind our aircraft and noticed his ADSB aircraft icon right over top our aircraft icon indicating the same altitude as us. At about 300 feet AGL or less I suddenly noticed him overtaking us out my right window. Within 100 feet laterally and at the same altitude. I took control from the student and made a left bank and started to climb. I reported traffic in sight and requested a full stop landing. Landing was made safely with no further incident.,32,Cluster 32,2.4852319,4.9258413,FBO,Final Approach; Landing
2071323.0,2024-01-01,2024-01,Aircraft X was climbed to 36;000 ft. while only requesting 34;000 ft. Aircraft data-block did not reflect assigned altitude.,36,Cluster 36,2.1292205,3.2128823,Air Carrier,Initial Climb
2071367.0,2024-01-01,2024-01,On base to ILS 22L at EWR the ATC Controller put us within 5 nm of a heavy 787 in moderate turbulence. We were downwind and in the wake of the 787 and the Controller waited for our turn to final to get us separation and made a snide response 'I'll give you all the separation you need.' It wasn't enough and due to turbulence and landing conditions at EWR we discontinued the approach and diverted.,30,Cluster 30,2.7692125,0.041866664,Air Carrier,Initial Approach
2071444.0,2024-01-01,2024-01,"I was the flying pilot for the leg but had just started break and fell asleep quickly. Upon return to flight deck the First Officer (F/Os) related the incident. Just prior to entering ZLC (Salt Lake Center) they noted an ATC EICAS w/transponder fail light. Confirming the situation they noted both GPS positions blank in the FMC prog"" pages resulting in an ADS B failure prompting the EICAS. ATC reported GPS jamming; all aircraft in a wide area experiencing it. ATC speculated it was from MUO Mt. Home; AFB. Jamming lasted around 2 hours; then the R GPS recovered; and the crew noted a L GPS EICAS.  Phone patch to Dispatch and Maintenance yielded negative recovery of L GPS. All 3 IRS systems were never impacted and it was agreed to continue; enter Class II airspace with 1 GPS and 3 IRS.Due to the weather in HNL we were expecting a 26L landing which only has an RNAV (RNP) and LDA. Upon my return to the flight deck the crew briefed me on the situation; I stated that I used to fly this fleet with only 3 IRSs before GPS; and I appreciated them continuing into Oceanic airspace. They also briefed me upon review of the Runway 26L approaches they discovered the RNAV (RNP) required 2 GPS and so we were limited to the LDA approach with higher minimums. This was a concern as the HNL forecast was acceptable but not great and PHOG/OGG; the alternate would require an RNAV (GPS) approach due to Cruise weather. I checked PHKO/KOA forecast which was VMC and advised Dispatch this would be the preferred 2nd alternate if HNL and OGG deteriorated. Dispatch responded with time and fuel to KOA for planning purposes. Uneventful approach [and] landing completed into HNL just ahead of weather.""",3,Cluster 3,-0.59326094,4.4262114,Air Carrier,Cruise
2071483.0,2024-01-01,2024-01,While on approach to Runway 22R and weather reported 8 km we had hard time seeing runway. When we finally saw runway on the right we had to align airplane slightly right of course. We both immediately realized that our instruments don't match what we are looking and seeing outside so we asked Tower if we are indeed aligned with correct runway. Tower Controller had hard time understanding what we asking and after 4th time us asking local pilot relayed message to Tower. Around that time we decided to make a go around and reevaluate the whole situation. I believe after we initiated go-around Tower as well wanted us to do go around. We made published missed approach; reloaded the approach and second attempt was uneventful. We found out later that airplane behind us had a same problem we did with aligning with 22R.I believe that we should add this caution to airport company pages. If you look airport diagram it does not show anything on right side of the 22R and still there is other runway on right of it.Also recommendation during visual conditions is to trust your instruments. Let the airplane align itself with runway before disconnecting autopilot.,-1,Noise,3.6974916,4.863723,Air Carrier,Landing
2071676.0,2024-01-01,2024-01,I was cleared for a right downwind to Runway XX at ZZZ airport. The controller pointed out traffic and I was watching the sequence traffic and Tower operator started giving commands to turn left and the confusion of the commands took my attention off of aircraft I was following and made me miss my downwind leg and the quartering tailwind pushed me closer to airport. I lost sight of aircraft; and it allowed me to get close to aircraft; although I never descended. I feel their nonstandard instructions caused confusion. If they had said for traffic turn left and not implied; I had done a wrong downwind. I believed they were saying ' I told you left downwind. They just said make direct base leg to Runway XX. Just very confusing scenario.,32,Cluster 32,3.0116968,4.7711673,Personal,Landing
2071706.0,2024-01-01,2024-01,Hand off from Approach on aircraft in the block that heads through some higher terrain deep in the approach airspace but well above our 9900 ft. Minimum IFR Altitude (MIA) well before they enter our airspace. Approach has different MIA's and so in this area this is not an unusual situation.On the pilot check in they said they were 11500 ft. Looking further out at their route I wanted to see if they would get into higher terrain past BIL or anything like that. Noticed they were on the T Route the entire way and their altitude is good for me for the T Route. But I noticed the MEA for the T-route on the portion they were on inside Approach's area is 11700 ft. I told the aircraft to climb and maintain 12000 ft. for terrain along their route; and informed Approach.I would have liked to have noticed before the aircraft checked on that it was below the MEA but I had assumed that they were clear of conflict before Approach handed them off. If the sectors weren't unnecessarily split there's a high likely hood that I would have been able to catch this issue earlier.,36,Cluster 36,1.887973,3.2912116,Personal,Cruise
2071861.0,2024-01-01,2024-01,"We were cleared for the visual XX into ZZZ. When we were cleared we were at 13;000;"" I believe and only a few miles from ZZZZZ to start the approach. To try and cross ZZZZZ at the recommended altitude of 8500 we were flaps 2 and speed brakes out being that we weren't cleared until a few miles from ZZZZZ. While descending we got a ""sink rate; pull up call."" We initiated a go-around. On go-around we momentarily exceeded the flaps 2 speed. We had the airport and terrain in sight during the entire approach. Around the same altitude the go-around was initiated we were experiencing light turbulence. In the future; I will slow prior to when we did on this attempt. Additionally during this type of go around we could have initially leveled off prior to adding power to allow time to bring the flaps up.""",29,Cluster 29,3.130854,2.104396,Fractional,Initial Approach
2071976.0,2024-01-01,2024-01,"I was doing traffic pattern operations with my student. Touch & gos on runway X. The pattern and airspace are particularly busy today; but I am handling all communications since it's my private student's first time doing pattern work. On our very last lap we turn left crosswind to left downwind; as we have been doing; already at 2000 MSL. I then see both on my ipad and on the MFD a traffic alert for someone 200 feet above. I immediately took controls from my student and took power out to descend. I descended about 400 feet. I also made a right hand turn to get away from that traffic. Tower called me and asked if I saw traffic off to my left. I said we did. He then called the other plane and told them they were supposed to turn outside"" of us and this would be their last lap. This plane began a crosswind turn early resulting in the traffic alert and near miss. We climbed back up to TPA and finished our flight with that lap.""",32,Cluster 32,2.623293,5.037979,FBO,Initial Approach
2072044.0,2024-01-01,2024-01,"Today's flight was a very light flight. Since it was a delayed flight from the prior night; most passengers had made alternate travel arrangements. We had XX passengers onboard. We de-iced in ZZZ and head to ORD. As we get to the terminal area in ORD; the Controller slow us down unusually early. We shot the ILS 27C. Runway conditions were reported as medium by an Aircraft Y flight that landed 2 aircraft ahead of us. Then there was an Aircraft Z flight that landed before us. They are instructed to turn left on E2 and left on E"". They were unable to find E2; and stayed on the runway requesting clarification on the instructions. At this time we are coming right behind them in short final and another Controller steps in and says ""Aircraft X; Go Around"" they gave us vectors and instructions to set up to come back around. As we come back around to the same runway; somebody gets a stuck mic; the Controller is able to get through; instructs everybody to be mindful of their mics and clear us to land. We land safely. I was pilot flying. I deploy the reversers. Captain says ""90 kts"". I start stowing the reversers and once I'm done doing that; the Captain says ""coming up with you on the brakes"" then ""my aircraft"". As soon as I let go on the controls; the Controller gives us the same instructions as they gave that other Aircraft Z flight during the first approach: ""turn left on E2 and left on E"". At this point I'm pilot monitoring and I reply ""Left on E2 and left on E"". I start looking around and all the signs are covered in snow. The runway markings that lead into the taxiways were also covered by compacted snow. The Captain sees an opening on the left; and takes it. At this point we had been on the runway for quite some time because; since we were light; our approach speed was 132 kts. and didn't use a whole lot of runway to slow the aircraft. As soon as we taxi out; the Controller says ""Aircraft X; that's a closed Runway (4); you were supposed to go to E2"". We had turned one exit too soon. They gave us further taxi instructions and then said that we had a possible pilot deviation and gave us a number to call. I think that given the runway conditions; we should've just worried about finding the right taxiway; even if it meant that we would've been on the runway for an extended period of time. As per our debrief; the Captain was concerned about other aircraft behind us having to go around as well; since this was the same exact scenario that had caused us to go around. I also think that this event could be prevented in the future by clearing out all of the snow covered signs; that way we can position ourselves at a specific place on the runway and know what exit is coming up next.""",-1,Noise,2.904429,2.31111,Air Carrier,Taxi
2072089.0,2024-01-01,2024-01,I was Pilot Flying and PIC (Pilot in Command) on this flight and we were cleared to descend via our arrival that we had briefed. The bottom altitude of the arrival was 8000ft so 8000 was set in the altitude selector and confirmed by both myself and the FO (First Officer) who was PM (Pilot Monitoring). The aircraft was in LNAV/VNAV modes and descending on profile. The weather at our destination had not been good all morning and the current conditions had 1 1/4 visibility; gusty winds; and snow. I had briefed the existence of terrain in the north east vicinity of the airport and the highest MSA of 9500ft. I had a terrain map page displayed on my MFD (Multi-Function Display). The runway condition codes had just been updated in the ATIS and I was trying to figure out if I could use ILS CAT I mins because I was still on high PIC mins. We were handed off to Approach Control who then gave us a heading of 130 and to descend and maintain 9000ft. I selected heading mode and selected 130. I remember my FO (First Officer) reading back 8000 for the altitude and I saw that 8000 was still bugged. We both paused and confirmed 8000ft at the same time. We continued descending and built the approach straight out in the downwind; anticipating the base turn. I noticed afterwards that I was high on profile and deployed speed brakes to return to profile. At around 8600ft; ATC issued an altitude alert and advised us to check our altitude at once. A few seconds later; we get a terrain caution; followed by an EGPWS warning at the same time ATC demanded we return to 9000ft. I executed the CFIT escape maneuver immediately and leveled at 9300ft. After regaining control of the aircraft we returned to 9000 and reengaged the automation. I was later informed the lowest ATC recorded us was 8200ft. We joined the approach and landed without further incident. The primary cause of this event was task saturation on both pilots during a critical phase of flight while receiving ATC instructions. Factors also include poor weather. Suggestions: Immediate confirmation of ATC instructions and asking for clarification when there is any doubt from either crew member.,22,Cluster 22,1.5827945,2.368126,Air Carrier,Initial Approach
2072126.0,2024-01-01,2024-01,While holding short of runway 22R at HNL; we were cleared; by Tower Control to cross Runway 22R and 22L and to hold short of Runway 26R on taxiway C. I read back the clearance to Tower.The CA confirmed the clearance and we checked the final. The CA (Captain) had a better view than I did; looking left. Final appeared clear and the CA began taxiing. As we were making our way across RWY 22R; the CA said he could see an aircraft on final; but wasn't sure which runway it was lined up for or how far out it was. The CA mentioned that he had heard Aircraft Y given landing clearance; but he did not see them or know how far out they were. I looked and did not see an aircraft initially and then within seconds; noticed  Aircraft Y on final. It appeared to be landing on runway 22L; which we had not yet crossed. The CA decided to stop just barely short of the hold short line for runway 22L. Within seconds;  Aircraft Y passed in front of us but high; and landed on runway 22L. Had we continued;  Aircraft Y  would have likely passed over us while we were in the middle of runway 22L prior to landing on 22L. I queried Tower that we were cleared across runway 22R/22L but we saw Aircraft Y pass in front of us. The controller said; ''roger; continue C short of RWY 26R'' We complied and continued the flight with no further incident. The controller sounded very busy as they were working multiple types of traffic to multiple runways; vfr; ifr; large; mid; small TO; LDG; ETC.,27,Cluster 27,4.530281,5.440118,Air Carrier,Taxi
2072145.0,2024-01-01,2024-01,As we were approaching B on LL; the aircraft in front of us reported to ground that braking action was poor. We were directly behind this plane that reported the braking action. We were given instructions to taxi LL and left on B. Prior to B; we began to slide sideways with nill traction as well. We informed ground control; and they responded to use caution to other aircraft behind us. Multiple aircraft complained of the same issue and ground did nothing about the issue. This taxiway should have been closed as this was an accident waiting to happen.,27,Cluster 27,6.025953,5.960042,Air Carrier,Taxi
2072169.0,2024-01-01,2024-01,While we were climbing; the ATC vectored us turning into a CB clouds for separation. I was hand flying expecting better handling the airplane if encounter unexpected turbulence. During the climbing turn around 7000 ft. we encountered sudden uplifting air; causing the 'bank angle' warning announcement; followed by the temporary stick shaker activation. We immediately initiated Undesired Aircraft State recovery [and] the aircraft returned to normal state of climb. The whole event only lasted a few seconds; no noticeable altitude drop during climbing.,30,Cluster 30,3.4700098,0.19725905,Air Carrier,Climb
2072182.0,2024-01-01,2024-01,We were shooting the LOC DME E 15 approach into ASE. We broke out of the clouds and observed the airport in sight. I advised the PM to advise ATC that we had the field in sight and want to continue visually. I didn't fully monitor the communication between the PM and ATC; as I was focused on my primary tasks. Through PM response; (miscommunication;) I thought we had clearance to continue visually; but evidently we didn't. We were advised of a low altitude alert while VMC. We then communicated more effectively with ATC and continued to a safe landing.Poor crew communication; as well as our poor communication with ATC regarding visual conditions and our desire to continue visually. Not rightly dividing attention to tasks such as communication while focused on flying duties. On the transition from IMC to VMC conditions; be very clear in communication with fellow crew members and ATC about having the airport in sight. Be more deliberate when requesting to continue visually and be certain to have ATC approval before leaving the instrument approach vertical profile visually. Don't assume anything. We can't be so wrapped up in staying ahead of the aircraft in challenging situations that we open ourselves up to deviate from established procedures. Brief the manner in which we plan on communicating with ATC when transitioning from instrument to visual conditions.,22,Cluster 22,1.7176714,2.1559691,Fractional,Initial Approach
2072209.0,2024-01-01,2024-01,"On the LIVRI 1D arrival to ILS Z RW29 when placed on a south vector to intercept final. Cleared direct to GL980 and cleared to descend to 8;300. Conditions were mostly clear and good visibility. While attempting to identify ground features to lead us to airport we received a GPWS alert 'CAUTION TERRAIN'. I promptly disconnected autopilot and steered the aircraft to the east around the mountain straight ahead and eventually returned to the desired course to intercept the localizer inside GL980. During the maneuver ATC repeatedly insisted that we return to course to which we repeatedly replied  unable due to terrain "". We landed with no further incident.In spite of company training warnings in the past I followed ATC instructions until I could no longer comply. Also; my proximity to the mountain was not accurately estimated visually.Suggestions: Continue emphasis training that ATC in foreign countries is not always to the standards to which U.S. pilots are accustomed.""",22,Cluster 22,1.3604721,1.8453844,Air Carrier,Initial Approach
2072458.0,2024-01-01,2024-01,On approach into ZZZZ the approach controller cleared us off the arrival and direct to a fix on the approach.  Because it was VFR we accepted the change and continued on to the fix ZZZZZ.  As we approached the fix the cleared us to 8300 feet and asked us to join the approach.  This put us on an angle that put the terrain located just north of the ZZZZZ intersection in play.  The aircraft gave us a terrain call and the PIC adjusted course to avoid the terrain.  Cause: Accepting a heading instead of flying the arrival. Suggestions: When flying internationally I would fly the full arrival; even if in VFR conditions.,29,Cluster 29,2.8759918,2.275684,Air Carrier,Initial Approach
